freq_hz,dbuv
30000000.0,-71.4053
31616666.666666668,-71.50069
33233333.333333332,-71.79078
34850000.0,-71.08218
36466666.666666664,-71.69772
38083333.333333336,-70.35002
39700000.0,-70.73492
41316666.666666664,-71.31416
42933333.333333336,-71.87613
44550000.0,-71.76429
46166666.666666664,-71.64521
47783333.33333333,-71.1074
49400000.0,-70.5994
51016666.66666667,-71.12708
52633333.33333333,-71.42236
54250000.0,-71.00958
55866666.66666667,-71.05514
57483333.33333333,-70.74243
59100000.0,-71.3073
60716666.66666667,-71.21761
62333333.33333333,-71.84018
63950000.0,-71.32958
65566666.666666664,-70.8533
67183333.33333334,-70.94197
68800000.0,-71.12089
70416666.66666666,-71.10925
72033333.33333334,-71.16219
73650000.0,-70.98994
75266666.66666666,-70.86745
76883333.33333334,-71.25726
78500000.0,-71.26226
80116666.66666666,-70.62977
81733333.33333334,-70.43696
83350000.0,-70.46461
84966666.66666666,-70.87859
86583333.33333334,-71.0116
88200000.0,-70.32032
89816666.66666666,-70.44501
91433333.33333334,-71.0823
93050000.0,-70.51209
94666666.66666666,-71.18464
96283333.33333334,-70.32822
97900000.0,-71.35213
99516666.66666667,-70.58127
101133333.33333333,-70.85612
102750000.0,-70.72699
104366666.66666667,-71.11179
105983333.33333333,-71.31673
107600000.0,-71.76138
109216666.66666667,-70.32422
110833333.33333333,-70.76401
112450000.0,-70.65675
114066666.66666667,-71.24553
115683333.33333333,-70.40041
117300000.0,-70.99188
118916666.66666667,-70.47476
120533333.33333333,-70.80807
122150000.0,-70.88445
123766666.66666667,-71.28675
125383333.33333333,-70.54369
127000000.0,-71.14832
128616666.66666667,-71.1948
130233333.33333333,-71.35051
131850000.0,-70.81407
133466666.66666667,-71.44939
135083333.3333333,-70.79734
136700000.0,-70.39303
138316666.6666667,-71.35152
139933333.3333333,-70.80122
141550000.0,-69.55772
143166666.6666667,-70.52065
144783333.3333333,-70.35716
146400000.0,-70.25345
148016666.6666667,-70.86488
149633333.3333333,-70.77923
151250000.0,-70.39669
152866666.6666667,-70.17462
154483333.3333333,-70.33156
156100000.0,-70.85553
157716666.6666667,-70.45502
159333333.3333333,-70.95005
160950000.0,-69.33453
162566666.6666667,-69.07758
164183333.3333333,-70.2909
165800000.0,-70.57945
167416666.66666666,-70.69016
169033333.33333334,-70.93604
170650000.0,-70.98962
172266666.66666666,-70.49845
173883333.33333334,-70.83037
175500000.0,-71.04095
177116666.66666666,-70.42747
178733333.33333334,-69.66467
180350000.0,-69.62175
181966666.66666666,-71.01944
183583333.33333334,-71.17604
185200000.0,-70.63474
186816666.66666666,-69.73032
188433333.33333334,-70.84494
190050000.0,-70.76701
191666666.66666666,-70.37277
193283333.33333334,-70.73887
194900000.0,-71.14607
196516666.66666666,-70.82989
198133333.33333334,-70.20152
199750000.0,-70.55474
201366666.66666666,-70.60133
202983333.33333334,-70.69421
204600000.0,-70.9305
206216666.66666666,-70.56113
207833333.33333334,-70.66674
209450000.0,-71.14468
211066666.66666666,-71.46268
212683333.33333334,-69.59166
214300000.0,-70.57051
215916666.66666666,-70.64867
217533333.33333334,-70.29409
219150000.0,-69.82793
220766666.66666666,-70.22598
222383333.33333334,-71.09307
224000000.0,-70.9958
225616666.66666666,-70.99506
227233333.33333334,-70.05609
228850000.0,-71.06333
230466666.66666666,-69.95012
232083333.33333334,-70.94669
233700000.0,-70.36787
235316666.66666666,-70.1288
236933333.33333334,-71.16872
238550000.0,-70.62283
240166666.66666666,-71.1264
241783333.33333334,-70.29021
243400000.0,-70.41404
245016666.66666666,-70.68967
246633333.33333334,-71.10214
248250000.0,-70.72009
249866666.66666666,-69.12656
251483333.33333334,-70.8584
253100000.0,-70.79082
254716666.66666666,-71.12699
256333333.33333334,-70.63113
257950000.0,-70.94836
259566666.66666666,-70.64136
261183333.33333334,-70.97952
262800000.0,-70.8145
264416666.66666666,-71.26653
266033333.33333334,-71.05754
267650000.0,-69.87676
269266666.6666666,-70.53838
270883333.3333334,-70.26842
272500000.0,-70.2056
274116666.6666666,-71.00297
275733333.3333334,-70.8924
277350000.0,-70.49277
278966666.6666666,-70.38263
280583333.3333334,-71.40436
282200000.0,-70.76369
283816666.6666666,-70.97193
285433333.3333334,-70.57677
287050000.0,-71.13963
288666666.6666666,-70.94936
290283333.3333334,-70.68067
291900000.0,-70.29387
293516666.6666666,-70.53858
295133333.3333334,-70.65531
296750000.0,-68.90235
298366666.6666666,-71.45277
299983333.3333333,-70.96629
301600000.0,-70.63416
303216666.6666667,-70.3699
304833333.3333333,-70.88458
306450000.0,-70.10393
308066666.6666667,-70.768
309683333.3333333,-70.40507
311300000.0,-70.18387
312916666.6666667,-70.33289
314533333.3333333,-70.62915
316150000.0,-71.34788
317766666.6666667,-69.88319
319383333.3333333,-71.04768
321000000.0,-69.65937
322616666.6666667,-70.05846
324233333.3333333,-70.75452
325850000.0,-71.02472
327466666.6666667,-71.03822
329083333.3333333,-70.50462
330700000.0,-70.55582
332316666.6666667,-70.95686
333933333.3333333,-70.28779
335550000.0,-70.52882
337166666.6666667,-70.17846
338783333.3333333,-70.59029
340400000.0,-71.08047
342016666.6666667,-70.74651
343633333.3333333,-70.66904
345250000.0,-70.32983
346866666.6666667,-70.69654
348483333.3333333,-70.7924
350100000.0,-70.03387
351716666.6666667,-70.52269
353333333.3333333,-70.61032
354950000.0,-70.84188
356566666.6666667,-69.798
358183333.3333333,-70.10838
359800000.0,-69.97023
361416666.6666667,-68.91277
363033333.3333333,-70.47388
364650000.0,-70.23034
366266666.6666667,-69.79041
367883333.3333333,-70.10158
369500000.0,-70.02276
371116666.6666667,-69.77242
372733333.3333333,-70.23708
374350000.0,-70.72347
375966666.6666667,-69.14433
377583333.3333333,-70.33701
