freq_hz,dbuv
30000000.0,-71.29782
31616666.666666668,-70.59592
33233333.333333332,-71.16446
34850000.0,-70.79562
36466666.666666664,-71.53184
38083333.333333336,-71.37577
39700000.0,-71.4771
41316666.666666664,-70.66932
42933333.333333336,-71.10899
44550000.0,-71.11038
46166666.666666664,-71.67294
47783333.33333333,-71.22022
49400000.0,-71.74833
51016666.66666667,-70.87896
52633333.33333333,-70.97997
54250000.0,-71.5894
55866666.66666667,-70.89446
57483333.33333333,-71.3307
59100000.0,-71.41884
60716666.66666667,-70.66206
62333333.33333333,-71.29766
63950000.0,-71.20777
65566666.666666664,-71.01512
67183333.33333334,-70.77603
68800000.0,-71.27487
70416666.66666666,-70.55654
72033333.33333334,-70.61275
73650000.0,-70.98994
75266666.66666666,-70.99418
76883333.33333334,-71.11829
78500000.0,-71.22105
80116666.66666666,-70.65803
81733333.33333334,-71.13409
83350000.0,-70.95648
84966666.66666666,-70.70348
86583333.33333334,-70.79451
88200000.0,-70.39742
89816666.66666666,-70.69989
91433333.33333334,-69.96038
93050000.0,-70.29212
94666666.66666666,-70.91794
96283333.33333334,-70.27632
97900000.0,-70.93021
99516666.66666667,-70.48734
101133333.33333333,-70.64017
102750000.0,-70.39342
104366666.66666667,-71.65195
105983333.33333333,-70.3426
107600000.0,-70.35254
109216666.66666667,-70.69907
110833333.33333333,-70.51976
112450000.0,-71.0817
114066666.66666667,-69.88811
115683333.33333333,-70.59003
117300000.0,-69.65907
118916666.66666667,-69.82134
120533333.33333333,-70.83959
122150000.0,-71.50375
123766666.66666667,-70.46772
125383333.33333333,-70.7574
127000000.0,-70.29942
128616666.66666667,-71.36647
130233333.33333333,-70.37942
131850000.0,-71.02422
133466666.66666667,-70.58764
135083333.3333333,-71.07522
136700000.0,-70.90015
138316666.6666667,-71.61398
139933333.3333333,-70.9316
141550000.0,-71.19743
143166666.6666667,-71.04642
144783333.3333333,-70.15056
146400000.0,-70.90002
148016666.6666667,-70.96723
149633333.3333333,-69.92535
151250000.0,-70.98053
152866666.6666667,-70.71223
154483333.3333333,-70.30376
