freq_hz,dbuv
30000000.0,-69.90548
31616666.666666668,-69.42027
33233333.333333332,-69.29505
34850000.0,-69.91109
36466666.666666664,-69.8774
38083333.333333336,-69.72167
39700000.0,-69.7204
41316666.666666664,-69.60918
42933333.333333336,-69.98693
44550000.0,-68.87363
46166666.666666664,-69.99165
47783333.33333333,-69.82415
49400000.0,-70.08403
51016666.66666667,-69.81019
52633333.33333333,-69.96605
54250000.0,-69.40195
55866666.66666667,-69.89936
57483333.33333333,-69.23072
59100000.0,-69.63638
60716666.66666667,-70.13753
62333333.33333333,-69.55749
63950000.0,-69.90902
65566666.666666664,-69.09444
67183333.33333334,-69.97907
68800000.0,-67.95241
70416666.66666666,-69.75253
72033333.33333334,-69.73553
73650000.0,-69.28865
75266666.66666666,-69.5425
76883333.33333334,-69.5325
78500000.0,-69.9401
80116666.66666666,-69.48081
81733333.33333334,-69.06415
83350000.0,-68.90792
84966666.66666666,-69.63593
86583333.33333334,-69.3186
88200000.0,-69.35696
89816666.66666666,-68.76964
91433333.33333334,-69.88468
93050000.0,-68.79079
94666666.66666666,-68.97916
96283333.33333334,-70.09306
97900000.0,-70.138
99516666.66666667,-69.11015
101133333.33333333,-69.11015
102750000.0,-69.19913
104366666.66666667,-68.99734
105983333.33333333,-68.94096
107600000.0,-68.70094
109216666.66666667,-69.56939
110833333.33333333,-69.71903
112450000.0,-69.36839
114066666.66666667,-69.17033
115683333.33333333,-69.50121
117300000.0,-69.93378
118916666.66666667,-70.29573
120533333.33333333,-69.32694
122150000.0,-68.97972
123766666.66666667,-69.86172
125383333.33333333,-69.57078
127000000.0,-69.27263
128616666.66666667,-69.5294
130233333.33333333,-68.86051
131850000.0,-69.31982
133466666.66666667,-69.75339
135083333.3333333,-68.38608
136700000.0,-69.85388
138316666.6666667,-68.83792
139933333.3333333,-69.5207
141550000.0,-68.89772
143166666.6666667,-69.00603
144783333.3333333,-69.21246
146400000.0,-69.27251
148016666.6666667,-69.4647
149633333.3333333,-69.81831
151250000.0,-68.23732
152866666.6666667,-69.49414
154483333.3333333,-69.19376
156100000.0,-68.55753
157716666.6666667,-69.71268
159333333.3333333,-69.49384
160950000.0,-68.98531
162566666.6666667,-68.01788
164183333.3333333,-69.5683
165800000.0,-69.2683
167416666.66666666,-68.77737
169033333.33333334,-69.44154
170650000.0,-69.24465
172266666.66666666,-69.9458
173883333.33333334,-69.11388
175500000.0,-69.3217
177116666.66666666,-69.26271
178733333.33333334,-69.28892
180350000.0,-69.03613
181966666.66666666,-68.75256
183583333.33333334,-69.38797
185200000.0,-68.57722
186816666.66666666,-68.8819
188433333.33333334,-68.32236
190050000.0,-68.92033
191666666.66666666,-70.18175
193283333.33333334,-68.88834
194900000.0,-68.45251
196516666.66666666,-69.16703
198133333.33333334,-69.45984
199750000.0,-69.74574
201366666.66666666,-69.16245
202983333.33333334,-68.74973
204600000.0,-68.30695
206216666.66666666,-68.82715
207833333.33333334,-68.88627
209450000.0,-69.45943
211066666.66666666,-69.26416
212683333.33333334,-69.05762
214300000.0,-69.43914
215916666.66666666,-69.17551
217533333.33333334,-68.71193
219150000.0,-69.03018
220766666.66666666,-69.66329
222383333.33333334,-69.17922
224000000.0,-68.77369
225616666.66666666,-68.16516
227233333.33333334,-68.86478
228850000.0,-69.34815
230466666.66666666,-69.56528
232083333.33333334,-69.61153
233700000.0,-69.62563
235316666.66666666,-68.83009
236933333.33333334,-68.6418
238550000.0,-69.17849
240166666.66666666,-69.23332
241783333.33333334,-69.37421
243400000.0,-69.28249
245016666.66666666,-69.57252
246633333.33333334,-68.698
248250000.0,-68.97303
249866666.66666666,-69.19612
251483333.33333334,-69.32919
253100000.0,-68.56873
254716666.66666666,-69.37878
256333333.33333334,-68.77094
257950000.0,-69.45666
259566666.66666666,-69.06642
261183333.33333334,-69.49869
262800000.0,-69.53889
264416666.66666666,-69.05531
266033333.33333334,-69.52205
267650000.0,-68.39494
269266666.6666666,-69.63409
270883333.3333334,-69.66653
272500000.0,-69.10777
274116666.6666666,-69.54396
275733333.3333334,-69.63757
277350000.0,-69.52442
278966666.6666666,-69.30323
280583333.3333334,-70.0445
282200000.0,-69.33849
283816666.6666666,-69.55384
285433333.3333334,-69.41339
287050000.0,-69.70629
288666666.6666666,-68.78103
290283333.3333334,-69.82908
291900000.0,-68.89626
293516666.6666666,-69.18851
295133333.3333334,-69.0614
296750000.0,-68.18011
298366666.6666666,-69.17209
299983333.3333333,-69.62392
301600000.0,-68.95171
303216666.6666667,-69.307
304833333.3333333,-68.3224
306450000.0,-69.08385
308066666.6666667,-69.97176
309683333.3333333,-68.06847
311300000.0,-68.88122
312916666.6666667,-68.15438
314533333.3333333,-69.1936
316150000.0,-69.04631
317766666.6666667,-68.78764
319383333.3333333,-68.91819
321000000.0,-68.41792
322616666.6666667,-69.35104
324233333.3333333,-69.2955
325850000.0,-69.55823
327466666.6666667,-69.6114
329083333.3333333,-69.11697
330700000.0,-69.23669
332316666.6666667,-68.39984
333933333.3333333,-68.3464
335550000.0,-69.17978
337166666.6666667,-68.66127
338783333.3333333,-68.21071
340400000.0,-69.21443
342016666.6666667,-68.9735
343633333.3333333,-67.92963
345250000.0,-69.05353
346866666.6666667,-69.03915
348483333.3333333,-68.94448
350100000.0,-69.14851
351716666.6666667,-68.9585
353333333.3333333,-69.00484
354950000.0,-69.16977
356566666.6666667,-68.92785
358183333.3333333,-68.96439
359800000.0,-69.12532
361416666.6666667,-69.07805
363033333.3333333,-69.15953
364650000.0,-69.29228
366266666.6666667,-69.50462
367883333.3333333,-68.66728
369500000.0,-67.92213
371116666.6666667,-68.42233
372733333.3333333,-68.52606
374350000.0,-68.47077
375966666.6666667,-68.59259
377583333.3333333,-68.97514
379200000.0,-68.76683
380816666.6666667,-68.65459
382433333.3333333,-69.17907
384050000.0,-68.03089
385666666.6666667,-69.01126
387283333.3333333,-68.76621
388900000.0,-68.97953
390516666.6666667,-67.51407
392133333.3333333,-69.02114
393750000.0,-68.31371
395366666.6666667,-68.71219
396983333.3333333,-68.61274
398600000.0,-68.71193
400216666.6666667,-68.49897
401833333.3333333,-68.94128
403450000.0,-69.09933
405066666.6666667,-68.3488
406683333.3333333,-67.99566
408300000.0,-69.19305
409916666.6666667,-68.17083
411533333.3333333,-68.10368
413150000.0,-69.02368
414766666.6666667,-68.71966
416383333.3333333,-68.4227
418000000.0,-68.73425
419616666.6666667,-68.49432
421233333.3333333,-68.3816
422850000.0,-68.55787
424466666.6666667,-68.69725
426083333.3333333,-68.87807
427700000.0,-68.54861
429316666.6666667,-68.77052
430933333.3333333,-68.80567
432550000.0,-67.90092
434166666.6666667,-68.71877
435783333.3333333,-68.92278
437400000.0,-68.7964
439016666.6666667,-68.29108
440633333.3333333,-68.9155
442250000.0,-67.47459
443866666.6666667,-68.6518
445483333.3333333,-67.95263
447100000.0,-68.89542
448716666.6666667,-68.04164
450333333.3333333,-68.58743
451950000.0,-68.39722
453566666.6666667,-67.19231
455183333.3333333,-68.76507
456800000.0,-68.58978
458416666.6666667,-67.94982
460033333.3333333,-67.87468
461650000.0,-68.77015
463266666.6666667,-68.30116
464883333.3333333,-67.56008
466500000.0,-68.76466
468116666.6666667,-68.57709
469733333.3333333,-67.96017
471350000.0,-67.99248
472966666.6666667,-67.91034
474583333.3333333,-68.28429
476200000.0,-68.2485
477816666.6666667,-68.56084
479433333.3333333,-68.27608
481050000.0,-67.94165
482666666.6666667,-68.37614
484283333.3333333,-67.55862
485900000.0,-68.0556
487516666.6666667,-67.72022
489133333.3333333,-68.07087
490750000.0,-68.52141
492366666.6666667,-68.30322
493983333.3333333,-68.01807
495600000.0,-68.10956
497216666.6666667,-68.31825
498833333.3333333,-68.07816
500450000.0,-67.34842
502066666.6666667,-68.4949
503683333.3333333,-67.97819
505300000.0,-68.73944
506916666.6666667,-68.21786
508533333.3333333,-68.3631
510150000.0,-67.39199
511766666.6666667,-68.3287
513383333.3333333,-68.53621
515000000.0,-67.61997
516616666.6666667,-68.10359
518233333.3333333,-68.69923
519850000.0,-68.59962
521466666.6666667,-67.60418
523083333.3333333,-66.7368
524700000.0,-68.85161
526316666.6666667,-67.80368
527933333.3333333,-67.70793
529550000.0,-68.4605
531166666.6666667,-68.61417
532783333.3333333,-68.60253
534400000.0,-68.74059
536016666.6666667,-68.12907
537633333.3333333,-68.53927
539250000.0,-68.72188
540866666.6666667,-67.90871
542483333.3333333,-68.21387
544100000.0,-67.66622
545716666.6666667,-67.81872
547333333.3333333,-69.01062
548950000.0,-67.98034
550566666.6666667,-68.4437
552183333.3333333,-67.1264
553800000.0,-68.25845
555416666.6666667,-68.47224
557033333.3333333,-68.44919
558650000.0,-68.66467
560266666.6666667,-68.27745
561883333.3333333,-68.33284
563500000.0,-68.14058
565116666.6666667,-68.01551
566733333.3333333,-68.29115
568350000.0,-68.1312
569966666.6666666,-68.25371
571583333.3333334,-68.47869
573200000.0,-67.32183
574816666.6666666,-67.72012
576433333.3333334,-67.85442
578050000.0,-68.63184
579666666.6666666,-68.8101
581283333.3333334,-68.01242
582900000.0,-68.78941
584516666.6666666,-68.11718
586133333.3333334,-68.52
587750000.0,-68.65984
589366666.6666666,-68.67854
590983333.3333334,-68.59078
592600000.0,-67.78793
594216666.6666666,-69.02805
595833333.3333334,-68.91696
597450000.0,-68.48587
599066666.6666666,-67.55833
