freq_hz,dbuv
30000000.0,11.95094
31616666.666666668,13.42075
33233333.333333332,17.56404
34850000.0,19.72841
36466666.666666664,8.979134
38083333.333333336,9.673965
39700000.0,25.99244
41316666.666666664,11.1661
42933333.333333336,14.23683
44550000.0,9.691261
46166666.666666664,13.99863
47783333.33333333,9.303459
49400000.0,13.98051
51016666.66666667,10.26901
52633333.33333333,16.5164
54250000.0,9.785446
55866666.66666667,11.44606
57483333.33333333,15.61943
59100000.0,28.58517
60716666.66666667,19.87717
62333333.33333333,20.99219
63950000.0,11.64797
65566666.666666664,16.03206
67183333.33333334,10.45259
68800000.0,10.33283
70416666.66666666,12.2075
72033333.33333334,10.55531
73650000.0,11.44189
75266666.66666666,11.3572
76883333.33333334,16.18645
78500000.0,26.51875
80116666.66666666,28.68471
81733333.33333334,14.77634
83350000.0,13.08233
84966666.66666666,12.56592
86583333.33333334,12.59341
88200000.0,16.16996
89816666.66666666,21.49916
91433333.33333334,16.66486
93050000.0,14.83475
94666666.66666666,16.60056
96283333.33333334,17.71933
97900000.0,22.55264
99516666.66666667,18.57954
101133333.33333333,12.1889
102750000.0,20.20526
104366666.66666667,11.08088
105983333.33333333,21.68146
107600000.0,12.06377
109216666.66666667,14.021
110833333.33333333,14.93818
112450000.0,13.62138
114066666.66666667,18.43576
115683333.33333333,16.64494
117300000.0,14.51398
118916666.66666667,29.20029
120533333.33333333,11.19032
122150000.0,9.979668
123766666.66666667,11.08776
125383333.33333333,15.03839
127000000.0,13.57208
128616666.66666667,14.92519
130233333.33333333,15.48609
131850000.0,20.3958
133466666.66666667,22.1928
135083333.3333333,9.372917
136700000.0,12.09189
138316666.6666667,16.03801
139933333.3333333,10.24435
141550000.0,12.38914
143166666.6666667,19.29536
144783333.3333333,17.1003
146400000.0,15.50209
148016666.6666667,17.72483
149633333.3333333,10.11019
151250000.0,10.7576
152866666.6666667,11.73623
154483333.3333333,11.50848
156100000.0,10.29364
157716666.6666667,17.03146
159333333.3333333,38.06133
160950000.0,24.88724
162566666.6666667,11.84155
164183333.3333333,17.9196
165800000.0,10.55682
167416666.66666666,15.79132
169033333.33333334,9.841209
170650000.0,10.21523
172266666.66666666,9.617157
173883333.33333334,10.03275
175500000.0,9.345314
177116666.66666666,15.14982
178733333.33333334,10.81669
180350000.0,10.13229
181966666.66666666,10.78455
183583333.33333334,9.777519
185200000.0,10.14009
186816666.66666666,13.91735
188433333.33333334,9.662064
190050000.0,10.17225
191666666.66666666,9.456917
193283333.33333334,8.894684
194900000.0,10.28465
196516666.66666666,12.3606
198133333.33333334,10.41084
199750000.0,18.33933
201366666.66666666,12.31073
202983333.33333334,10.72449
204600000.0,13.49268
206216666.66666666,13.80942
207833333.33333334,12.78236
209450000.0,10.99294
211066666.66666666,11.29473
212683333.33333334,10.5754
214300000.0,10.72446
215916666.66666666,12.94659
217533333.33333334,10.48492
219150000.0,11.16781
220766666.66666666,10.09419
222383333.33333334,10.08418
224000000.0,10.30855
225616666.66666666,11.93226
227233333.33333334,9.750458
228850000.0,10.50323
230466666.66666666,9.674484
232083333.33333334,10.37325
233700000.0,13.00442
235316666.66666666,10.24667
236933333.33333334,10.29662
238550000.0,14.55643
240166666.66666666,10.14452
241783333.33333334,11.50848
243400000.0,13.10503
245016666.66666666,10.59541
246633333.33333334,9.438789
248250000.0,12.43007
249866666.66666666,10.4339
251483333.33333334,11.11257
253100000.0,15.28212
254716666.66666666,10.56071
256333333.33333334,9.284676
257950000.0,10.08434
259566666.66666666,10.11984
261183333.33333334,11.93867
262800000.0,16.48388
264416666.66666666,10.18126
266033333.33333334,11.96826
267650000.0,11.94594
269266666.6666666,10.71993
270883333.3333334,10.29271
272500000.0,16.60382
274116666.6666666,13.86019
275733333.3333334,11.50562
277350000.0,10.08501
278966666.6666666,14.63307
280583333.3333334,9.867599
282200000.0,14.14221
283816666.6666666,12.07133
285433333.3333334,10.33449
287050000.0,11.12895
288666666.6666666,9.853661
290283333.3333334,10.72108
291900000.0,12.59097
293516666.6666666,10.50462
295133333.3333334,9.496239
296750000.0,11.3286
298366666.6666666,11.18256
299983333.3333333,12.27588
301600000.0,12.73251
303216666.6666667,9.984566
304833333.3333333,10.3256
306450000.0,12.83421
308066666.6666667,12.07374
309683333.3333333,13.07155
311300000.0,12.05106
312916666.6666667,10.81096
314533333.3333333,11.34991
316150000.0,11.65144
317766666.6666667,9.987671
319383333.3333333,26.48981
321000000.0,15.98865
322616666.6666667,12.67361
324233333.3333333,11.57798
325850000.0,13.18449
327466666.6666667,11.42379
329083333.3333333,13.4895
330700000.0,10.64316
332316666.6666667,12.84327
333933333.3333333,11.29776
335550000.0,11.53166
337166666.6666667,12.45627
338783333.3333333,12.48531
340400000.0,10.17551
342016666.6666667,12.58398
343633333.3333333,9.347267
345250000.0,10.89734
346866666.6666667,9.51815
348483333.3333333,11.42596
350100000.0,11.66206
351716666.6666667,10.42049
353333333.3333333,10.02895
354950000.0,11.47956
356566666.6666667,9.71122
358183333.3333333,11.76008
359800000.0,12.78835
361416666.6666667,11.41743
363033333.3333333,10.10421
364650000.0,12.30841
366266666.6666667,12.05368
367883333.3333333,14.29603
369500000.0,10.17991
371116666.6666667,12.5887
372733333.3333333,9.916534
374350000.0,13.23595
375966666.6666667,10.37283
377583333.3333333,11.30423
379200000.0,12.86413
380816666.6666667,12.98436
382433333.3333333,14.48975
384050000.0,14.40502
385666666.6666667,10.78564
387283333.3333333,12.99757
388900000.0,10.62109
390516666.6666667,11.29453
392133333.3333333,9.932991
393750000.0,10.78148
395366666.6666667,11.36105
396983333.3333333,11.57993
398600000.0,15.78481
400216666.6666667,9.90358
401833333.3333333,14.90598
403450000.0,11.32054
405066666.6666667,10.64972
406683333.3333333,15.07699
408300000.0,12.86166
409916666.6666667,9.879074
411533333.3333333,10.12992
413150000.0,10.70902
414766666.6666667,10.56454
416383333.3333333,10.64403
418000000.0,10.76131
419616666.6666667,11.1702
421233333.3333333,10.33975
422850000.0,11.2234
424466666.6666667,10.68457
426083333.3333333,10.92572
427700000.0,11.27432
429316666.6666667,10.87798
430933333.3333333,10.05839
432550000.0,10.75266
434166666.6666667,12.20635
435783333.3333333,11.48621
437400000.0,10.74035
439016666.6666667,11.54581
440633333.3333333,10.56137
442250000.0,10.44427
443866666.6666667,10.1918
445483333.3333333,10.2618
447100000.0,10.72154
448716666.6666667,10.83994
450333333.3333333,10.63943
451950000.0,10.7087
453566666.6666667,10.38117
455183333.3333333,14.04236
456800000.0,10.90048
458416666.6666667,11.65593
460033333.3333333,10.71292
461650000.0,10.47678
463266666.6666667,11.41719
464883333.3333333,11.25459
466500000.0,11.49503
468116666.6666667,11.05183
469733333.3333333,11.70167
471350000.0,11.06322
472966666.6666667,10.53062
474583333.3333333,12.07513
476200000.0,11.99581
477816666.6666667,11.47125
479433333.3333333,24.11568
481050000.0,11.48396
482666666.6666667,22.08685
484283333.3333333,12.42178
485900000.0,11.61558
487516666.6666667,11.40811
489133333.3333333,12.01373
490750000.0,11.46281
492366666.6666667,12.04806
493983333.3333333,12.22125
495600000.0,11.96593
497216666.6666667,12.13693
498833333.3333333,12.43752
500450000.0,11.86258
502066666.6666667,11.91509
503683333.3333333,12.06979
505300000.0,12.08595
506916666.6666667,11.83673
508533333.3333333,12.52972
510150000.0,13.34992
511766666.6666667,12.23325
513383333.3333333,11.55029
515000000.0,12.58239
516616666.6666667,12.31143
518233333.3333333,13.06778
519850000.0,12.57244
521466666.6666667,12.14197
523083333.3333333,11.94506
524700000.0,12.11396
526316666.6666667,11.82352
527933333.3333333,13.35069
