freq_hz,dbuv
30000000.0,22.75929
31616666.666666668,22.55048
33233333.333333332,19.52063
34850000.0,16.47702
36466666.666666664,15.72635
38083333.333333336,24.17416
39700000.0,22.83838
41316666.666666664,22.87571
42933333.333333336,19.32825
44550000.0,19.88445
46166666.666666664,16.26192
47783333.33333333,19.24965
49400000.0,12.93062
51016666.66666667,12.02763
52633333.33333333,12.13174
54250000.0,14.08955
55866666.66666667,12.95799
57483333.33333333,13.27599
59100000.0,12.22174
60716666.66666667,11.69537
62333333.33333333,15.06119
63950000.0,20.64375
65566666.666666664,12.11158
67183333.33333334,14.16039
68800000.0,14.58459
70416666.66666666,14.08304
72033333.33333334,17.13147
73650000.0,22.15524
75266666.66666666,19.88876
76883333.33333334,16.35584
78500000.0,20.95123
80116666.66666666,18.44778
81733333.33333334,20.61617
83350000.0,20.54286
84966666.66666666,20.59177
86583333.33333334,20.06026
88200000.0,19.79493
89816666.66666666,24.06613
91433333.33333334,27.04269
93050000.0,28.38623
94666666.66666666,24.75145
96283333.33333334,28.85674
97900000.0,29.85259
99516666.66666667,26.2894
101133333.33333333,20.85516
102750000.0,24.58293
104366666.66666667,19.4354
105983333.33333333,25.29402
107600000.0,18.44453
109216666.66666667,18.3619
110833333.33333333,19.38155
112450000.0,20.2215
114066666.66666667,17.62657
115683333.33333333,17.60629
117300000.0,19.76496
118916666.66666667,18.06801
120533333.33333333,15.24818
122150000.0,14.20184
123766666.66666667,16.22665
125383333.33333333,12.74184
127000000.0,12.83788
128616666.66666667,11.31273
130233333.33333333,12.04341
131850000.0,9.902969
133466666.66666667,11.2666
135083333.3333333,8.870956
136700000.0,10.0851
138316666.6666667,10.82697
139933333.3333333,8.96846
141550000.0,8.696861
143166666.6666667,8.583397
144783333.3333333,9.687408
146400000.0,9.027542
148016666.6666667,8.521439
149633333.3333333,8.469727
151250000.0,11.12881
152866666.6666667,9.973671
154483333.3333333,8.771111
156100000.0,9.248337
157716666.6666667,8.908478
159333333.3333333,8.061531
160950000.0,8.333221
162566666.6666667,9.995544
164183333.3333333,8.986259
165800000.0,9.534134
167416666.66666666,8.890404
169033333.33333334,8.407013
170650000.0,8.643936
172266666.66666666,8.533112
173883333.33333334,8.984459
175500000.0,11.18573
177116666.66666666,9.028862
178733333.33333334,9.946564
180350000.0,9.42157
181966666.66666666,10.02369
183583333.33333334,9.539276
185200000.0,9.361534
186816666.66666666,10.36514
188433333.33333334,9.934662
190050000.0,9.468269
191666666.66666666,9.861397
193283333.33333334,10.66309
194900000.0,10.33145
196516666.66666666,9.64476
198133333.33333334,9.834427
199750000.0,10.58152
201366666.66666666,9.656731
202983333.33333334,14.27496
204600000.0,18.34343
206216666.66666666,17.6446
207833333.33333334,13.15581
209450000.0,13.8522
211066666.66666666,10.6904
212683333.33333334,10.81479
214300000.0,9.941208
215916666.66666666,10.37217
217533333.33333334,9.726295
219150000.0,9.263451
220766666.66666666,8.905151
222383333.33333334,8.834244
224000000.0,9.396469
225616666.66666666,9.56839
227233333.33333334,8.850624
228850000.0,8.801315
230466666.66666666,8.651573
232083333.33333334,8.403069
233700000.0,8.376884
235316666.66666666,7.875481
236933333.33333334,9.600922
238550000.0,9.143753
240166666.66666666,12.54445
241783333.33333334,12.63777
243400000.0,8.316345
245016666.66666666,8.401474
246633333.33333334,8.173988
248250000.0,9.001183
249866666.66666666,9.227829
251483333.33333334,8.629791
253100000.0,7.481728
254716666.66666666,8.392471
256333333.33333334,8.657928
257950000.0,8.60083
259566666.66666666,8.357819
261183333.33333334,8.914246
262800000.0,8.828629
264416666.66666666,7.947678
266033333.33333334,8.603783
267650000.0,8.529846
269266666.6666666,8.506058
