freq_hz,dbuv
30000000.0,21.71762
31616666.666666668,22.6282
33233333.333333332,21.26256
34850000.0,20.30786
36466666.666666664,17.87565
38083333.333333336,24.1585
39700000.0,37.86517
41316666.666666664,21.70684
42933333.333333336,22.81514
44550000.0,19.23399
46166666.666666664,17.67825
47783333.33333333,20.28065
49400000.0,21.43407
51016666.66666667,16.73119
52633333.33333333,12.93425
54250000.0,16.15005
55866666.66666667,24.71223
57483333.33333333,21.43126
59100000.0,17.66749
60716666.66666667,20.90593
62333333.33333333,17.32061
63950000.0,23.77725
65566666.666666664,16.4511
67183333.33333334,18.05685
68800000.0,20.81103
70416666.66666666,21.61612
72033333.33333334,20.98859
73650000.0,25.13681
75266666.66666666,23.56714
76883333.33333334,21.60246
78500000.0,27.4572
80116666.66666666,29.26803
81733333.33333334,24.23716
83350000.0,24.55332
84966666.66666666,25.92215
86583333.33333334,24.60703
88200000.0,22.65743
89816666.66666666,32.72604
91433333.33333334,28.3911
93050000.0,30.32976
94666666.66666666,25.6422
96283333.33333334,30.78993
97900000.0,32.03467
99516666.66666667,28.40482
101133333.33333333,21.9726
102750000.0,24.71052
104366666.66666667,30.15938
105983333.33333333,27.22511
107600000.0,21.59452
109216666.66666667,25.00573
110833333.33333333,22.5545
112450000.0,22.73944
114066666.66666667,19.16775
115683333.33333333,20.50902
117300000.0,20.55719
118916666.66666667,33.62644
120533333.33333333,15.62292
122150000.0,13.94358
123766666.66666667,15.69467
125383333.33333333,12.91755
127000000.0,12.51231
128616666.66666667,10.95464
130233333.33333333,11.56421
131850000.0,16.05846
133466666.66666667,14.06212
135083333.3333333,10.76753
136700000.0,15.262
138316666.6666667,11.8779
139933333.3333333,10.59074
141550000.0,15.4796
143166666.6666667,14.20167
144783333.3333333,9.84877
146400000.0,9.414589
148016666.6666667,8.565079
149633333.3333333,9.281548
151250000.0,8.71386
152866666.6666667,12.01996
154483333.3333333,9.72892
156100000.0,9.691132
157716666.6666667,14.13827
159333333.3333333,30.42102
160950000.0,13.20103
162566666.6666667,10.89885
164183333.3333333,8.738876
165800000.0,8.498589
167416666.66666666,9.660789
169033333.33333334,9.260605
170650000.0,8.875259
172266666.66666666,8.868263
173883333.33333334,10.52654
175500000.0,12.33089
177116666.66666666,9.999352
178733333.33333334,10.23792
180350000.0,10.36024
181966666.66666666,10.99982
183583333.33333334,12.41908
185200000.0,12.7088
186816666.66666666,12.63503
188433333.33333334,11.88866
190050000.0,11.02225
191666666.66666666,11.38741
193283333.33333334,11.28786
194900000.0,10.97829
196516666.66666666,10.59671
198133333.33333334,10.92282
199750000.0,16.69205
201366666.66666666,12.05955
202983333.33333334,18.109
204600000.0,22.73252
206216666.66666666,20.05426
207833333.33333334,15.81534
209450000.0,12.68217
211066666.66666666,11.6848
212683333.33333334,12.35101
214300000.0,10.74233
215916666.66666666,13.14024
217533333.33333334,10.56222
219150000.0,9.608398
220766666.66666666,8.943481
222383333.33333334,9.893204
224000000.0,9.49157
225616666.66666666,9.14502
227233333.33333334,9.263596
228850000.0,9.942169
230466666.66666666,9.53759
232083333.33333334,9.350098
233700000.0,9.081482
235316666.66666666,8.224747
236933333.33333334,8.574753
238550000.0,21.93513
240166666.66666666,13.33223
241783333.33333334,16.38303
243400000.0,8.064407
245016666.66666666,8.993973
246633333.33333334,10.05598
248250000.0,8.982925
249866666.66666666,8.445869
251483333.33333334,8.721657
253100000.0,8.856667
254716666.66666666,9.27359
256333333.33333334,8.97448
257950000.0,9.418793
259566666.66666666,9.418266
261183333.33333334,9.16523
262800000.0,12.55858
264416666.66666666,8.414558
266033333.33333334,8.554619
267650000.0,9.352226
269266666.6666666,9.217896
270883333.3333334,8.993568
272500000.0,9.605576
274116666.6666666,9.052261
275733333.3333334,8.773605
277350000.0,8.721664
278966666.6666666,11.87534
280583333.3333334,8.967018
282200000.0,9.970398
283816666.6666666,9.283714
285433333.3333334,11.14632
287050000.0,10.33801
288666666.6666666,9.042923
290283333.3333334,8.694626
291900000.0,9.509956
293516666.6666666,9.160683
295133333.3333334,8.077347
296750000.0,9.701958
298366666.6666666,8.644661
299983333.3333333,9.307121
301600000.0,8.495834
303216666.6666667,8.931625
304833333.3333333,8.288071
306450000.0,9.242783
308066666.6666667,8.166672
309683333.3333333,8.482132
311300000.0,9.886848
